Date Time,Chlorophyll-a Fluorescence (RFU),Chlorophyll-a Concentration (µg/L),Actual Conductivity (µS/cm),Specific Conductivity (µS/cm),Salinity (ppt),Total Dissolved Solids (ppt),Resistivity (Ω⋅cm),Density (g/cm³),RDO Concentration (mg/L),RDO Saturation (%Sat),Oxygen Partial Pressure (Torr),Temperature (°C),Barometric Pressure (mm Hg),Pressure (psi),Depth (ft),External Voltage (V),Battery Capacity (%),Barometric Pressure (mbar),Temperature (°C),Marked
2020-01-31T14:42:43Z,0.01131695,0.1131695,44571.81,49147.5,32.45612,31.94587,22.43571,1.022792,7.563519,100.6541,157.0053,20.1256,762.3156,15.94061,37.36587,2.685,75,1016.72,35.8,NA
2020-01-31T14:42:45Z,0.01131695,0.1131695,44571.81,49147.5,32.45612,31.94587,22.43571,1.022792,7.563519,100.6541,157.0053,20.1256,762.3156,15.94061,37.36587,2.685,75,1016.72,35.8,NA
2020-01-31T14:42:47Z,0.01211507,0.1211507,44581.64,49155.82,32.46239,31.94604,22.43568,1.022792,7.561736,100.6264,156.968,20.12802,762.3988,16.29788,38.17079,2.226741,75,1016.747,35.97554,NA
2020-01-31T14:42:49Z,0.0094835,0.094835,44571.49,49146.18,32.4552,31.94451,22.43634,1.02279,7.556221,100.5482,156.8543,20.12566,762.4608,16.94964,39.69973,1.888017,75,1016.731,36.11282,NA
2020-01-31T14:42:51Z,0.009206671,0.09206671,44548.62,49129.16,32.44226,31.93374,22.44759,1.022783,7.555417,100.5123,156.8051,20.11848,762.4957,17.495,40.95759,1.387832,75,1016.789,36.26008,NA
2020-01-31T14:42:53Z,0.009047723,0.09047723,44544.98,49126.36,32.44014,31.9322,22.44915,1.022782,7.55508,100.5042,156.7938,20.11738,762.5026,17.595,41.1895,1.308457,75,1016.796,36.28479,NA
2020-01-31T14:42:55Z,0.01078695,0.1078694,44544.22,49124.79,32.43901,31.93111,22.4496,1.022781,7.548915,100.4188,156.6665,20.11814,762.567,18.49837,43.27364,1.109229,75,1016.724,36.40346,NA
2020-01-31T14:42:57Z,0.009787533,0.09787533,44524.47,49101.91,32.42216,31.91624,22.45956,1.022768,7.555694,100.4924,156.7945,20.1192,762.6398,19.67118,46.50124,0.9499051,75,1016.701,36.52051,NA
2020-01-31T14:42:59Z,0.008079128,0.08079129,44519.61,49089.98,32.41365,31.90848,22.46635,1.022755,7.552434,100.4184,156.7014,20.12556,762.6852,19.65972,46.00628,0.8169338,75,1016.727,36.61827,NA
2020-01-31T14:43:01Z,0.008122176,0.08122176,44494.45,49058.95,32.39088,31.88832,22.47523,1.022741,7.5542,100.4543,156.7558,20.12488,762.735,20.4881,47.87786,0.7265006,75,1016.712,36.71411,NA
2020-01-31T14:43:03Z,0.008055824,0.08055823,44491.01,49054.43,32.38758,31.88538,22.47666,1.022738,7.554251,100.4553,156.7582,20.12507,762.7433,20.59103,48.08638,0.709353,75,1016.711,36.73059,NA
2020-01-31T14:43:05Z,0.00739621,0.1161019,44488.06,49059.82,32.39118,31.88889,22.47792,1.022743,7.544596,100.3067,156.5406,20.12072,762.6948,21.01698,49.0883,0.5688258,75,1016.682,36.82312,NA
2020-01-31T14:43:07Z,0.009767135,0.1019172,44487.68,49060.17,32.3914,31.88911,22.47813,1.022744,7.553827,100.4339,156.7302,20.12025,762.685,22.28988,52.03379,0.512837,75,1016.716,36.89923,NA
2020-01-31T14:43:09Z,0.007937954,0.08061261,44477.37,49050.72,32.38906,31.88713,22.48038,1.022742,7.546786,100.3307,156.5774,20.11847,762.7303,23.15814,54.03949,0.4571918,75,1016.71,36.99722,NA
