dtime,value,metric,units,device_sn,device_model
2020-01-24T15:05:14Z,1.121353,Chlorophyll-a Concentration,µg/L,671693,NA
2020-01-24T15:05:16Z,0.266398,Chlorophyll-a Concentration,µg/L,671693,NA
2020-01-24T15:05:18Z,0.03412119,Chlorophyll-a Concentration,µg/L,671693,NA
2020-01-24T15:05:20Z,0.03640863,Chlorophyll-a Concentration,µg/L,671693,NA
2020-01-24T15:05:22Z,0.03638732,Chlorophyll-a Concentration,µg/L,671693,NA
2020-01-24T15:05:24Z,0.0498629,Chlorophyll-a Concentration,µg/L,671693,NA
2020-01-24T15:05:26Z,0.06071071,Chlorophyll-a Concentration,µg/L,671693,NA
2020-01-24T15:05:28Z,0.0503618,Chlorophyll-a Concentration,µg/L,671693,NA
2020-01-24T15:05:30Z,0.04918192,Chlorophyll-a Concentration,µg/L,671693,NA
2020-01-24T15:05:32Z,0.02418289,Chlorophyll-a Concentration,µg/L,671693,NA
2020-01-24T15:05:34Z,0.0431358,Chlorophyll-a Concentration,µg/L,671693,NA
2020-01-24T15:05:36Z,0.04668764,Chlorophyll-a Concentration,µg/L,671693,NA
2020-01-24T15:05:38Z,0.04670184,Chlorophyll-a Concentration,µg/L,671693,NA
2020-01-24T15:05:40Z,0.06162554,Chlorophyll-a Concentration,µg/L,671693,NA
2020-01-24T15:05:42Z,0.06362645,Chlorophyll-a Concentration,µg/L,671693,NA
2020-01-24T15:05:44Z,0.03634208,Chlorophyll-a Concentration,µg/L,671693,NA
2020-01-24T15:05:46Z,0.03590775,Chlorophyll-a Concentration,µg/L,671693,NA
2020-01-24T15:05:48Z,0.05546022,Chlorophyll-a Concentration,µg/L,671693,NA
2020-01-24T15:05:50Z,0.02731478,Chlorophyll-a Concentration,µg/L,671693,NA
2020-01-24T15:05:52Z,0.04832125,Chlorophyll-a Concentration,µg/L,671693,NA
2020-01-24T15:05:54Z,0.05003496,Chlorophyll-a Concentration,µg/L,671693,NA
2020-01-24T15:05:56Z,0.05224233,Chlorophyll-a Concentration,µg/L,671693,NA
2020-01-24T15:05:58Z,0.04315108,Chlorophyll-a Concentration,µg/L,671693,NA
2020-01-24T15:06:00Z,0.05675278,Chlorophyll-a Concentration,µg/L,671693,NA
2020-01-24T15:06:02Z,0.05174458,Chlorophyll-a Concentration,µg/L,671693,NA
2020-01-24T15:06:04Z,0.05174514,Chlorophyll-a Concentration,µg/L,671693,NA
2020-01-24T15:05:14Z,0.5642365,Depth,ft,671053,NA
2020-01-24T15:05:16Z,0.5410975,Depth,ft,671053,NA
2020-01-24T15:05:18Z,0.798496,Depth,ft,671053,NA
2020-01-24T15:05:20Z,0.7943681,Depth,ft,671053,NA
2020-01-24T15:05:22Z,0.8052194,Depth,ft,671053,NA
2020-01-24T15:05:24Z,1.464612,Depth,ft,671053,NA
2020-01-24T15:05:26Z,4.520397,Depth,ft,671053,NA
2020-01-24T15:05:28Z,4.813649,Depth,ft,671053,NA
2020-01-24T15:05:30Z,4.938527,Depth,ft,671053,NA
2020-01-24T15:05:32Z,9.255908,Depth,ft,671053,NA
2020-01-24T15:05:34Z,12.23655,Depth,ft,671053,NA
2020-01-24T15:05:36Z,13.15415,Depth,ft,671053,NA
2020-01-24T15:05:38Z,15.34475,Depth,ft,671053,NA
2020-01-24T15:05:40Z,17.6898,Depth,ft,671053,NA
2020-01-24T15:05:42Z,18.10125,Depth,ft,671053,NA
2020-01-24T15:05:44Z,21.19449,Depth,ft,671053,NA
2020-01-24T15:05:46Z,21.44613,Depth,ft,671053,NA
2020-01-24T15:05:48Z,21.579,Depth,ft,671053,NA
2020-01-24T15:05:50Z,22.16503,Depth,ft,671053,NA
2020-01-24T15:05:52Z,23.03556,Depth,ft,671053,NA
2020-01-24T15:05:54Z,23.18076,Depth,ft,671053,NA
2020-01-24T15:05:56Z,23.07466,Depth,ft,671053,NA
2020-01-24T15:05:58Z,23.37353,Depth,ft,671053,NA
2020-01-24T15:06:00Z,25.84419,Depth,ft,671053,NA
2020-01-24T15:06:02Z,28.81746,Depth,ft,671053,NA
2020-01-24T15:06:04Z,29.32709,Depth,ft,671053,NA
2020-01-24T15:05:34Z,26.5500283333333,Latitude,°,NA,NA
2020-01-24T15:05:36Z,26.55001,Latitude,°,NA,NA
2020-01-24T15:05:38Z,26.549995,Latitude,°,NA,NA
2020-01-24T15:05:40Z,26.5500116666667,Latitude,°,NA,NA
2020-01-24T15:05:42Z,26.5500233333333,Latitude,°,NA,NA
2020-01-24T15:05:44Z,26.5500383333333,Latitude,°,NA,NA
2020-01-24T15:05:46Z,26.55006,Latitude,°,NA,NA
2020-01-24T15:05:48Z,26.55006,Latitude,°,NA,NA
2020-01-24T15:05:50Z,26.5500716666667,Latitude,°,NA,NA
2020-01-24T15:05:52Z,26.5500733333333,Latitude,°,NA,NA
2020-01-24T15:05:54Z,26.5500733333333,Latitude,°,NA,NA
2020-01-24T15:05:56Z,26.5500783333333,Latitude,°,NA,NA
2020-01-24T15:05:58Z,26.5500883333333,Latitude,°,NA,NA
2020-01-24T15:06:00Z,26.5501033333333,Latitude,°,NA,NA
2020-01-24T15:06:02Z,26.5501166666667,Latitude,°,NA,NA
2020-01-24T15:06:04Z,26.5501316666667,Latitude,°,NA,NA
2020-01-24T15:05:34Z,-82.6977666666667,Longitude,°,NA,NA
2020-01-24T15:05:36Z,-82.6977866666667,Longitude,°,NA,NA
2020-01-24T15:05:38Z,-82.6978133333333,Longitude,°,NA,NA
2020-01-24T15:05:40Z,-82.6978166666667,Longitude,°,NA,NA
2020-01-24T15:05:42Z,-82.6978183333333,Longitude,°,NA,NA
2020-01-24T15:05:44Z,-82.69782,Longitude,°,NA,NA
2020-01-24T15:05:46Z,-82.6978216666667,Longitude,°,NA,NA
2020-01-24T15:05:48Z,-82.6978216666667,Longitude,°,NA,NA
2020-01-24T15:05:50Z,-82.6978233333333,Longitude,°,NA,NA
2020-01-24T15:05:52Z,-82.6978133333333,Longitude,°,NA,NA
2020-01-24T15:05:54Z,-82.6978133333333,Longitude,°,NA,NA
2020-01-24T15:05:56Z,-82.6978016666667,Longitude,°,NA,NA
2020-01-24T15:05:58Z,-82.6977983333333,Longitude,°,NA,NA
2020-01-24T15:06:00Z,-82.6977983333333,Longitude,°,NA,NA
2020-01-24T15:06:02Z,-82.697805,Longitude,°,NA,NA
2020-01-24T15:06:04Z,-82.6978133333333,Longitude,°,NA,NA
2020-01-24T15:05:14Z,7.386911,RDO Concentration,mg/L,672340,NA
2020-01-24T15:05:16Z,7.307311,RDO Concentration,mg/L,672340,NA
2020-01-24T15:05:18Z,7.334827,RDO Concentration,mg/L,672340,NA
2020-01-24T15:05:20Z,7.346209,RDO Concentration,mg/L,672340,NA
2020-01-24T15:05:22Z,7.349903,RDO Concentration,mg/L,672340,NA
2020-01-24T15:05:24Z,7.354629,RDO Concentration,mg/L,672340,NA
2020-01-24T15:05:26Z,7.266651,RDO Concentration,mg/L,672340,NA
2020-01-24T15:05:28Z,7.205156,RDO Concentration,mg/L,672340,NA
2020-01-24T15:05:30Z,7.194155,RDO Concentration,mg/L,672340,NA
2020-01-24T15:05:32Z,7.193987,RDO Concentration,mg/L,672340,NA
2020-01-24T15:05:34Z,7.194306,RDO Concentration,mg/L,672340,NA
2020-01-24T15:05:36Z,7.203118,RDO Concentration,mg/L,672340,NA
2020-01-24T15:05:38Z,7.201818,RDO Concentration,mg/L,672340,NA
2020-01-24T15:05:40Z,7.200274,RDO Concentration,mg/L,672340,NA
2020-01-24T15:05:42Z,7.199949,RDO Concentration,mg/L,672340,NA
2020-01-24T15:05:44Z,7.205982,RDO Concentration,mg/L,672340,NA
2020-01-24T15:05:46Z,7.212125,RDO Concentration,mg/L,672340,NA
2020-01-24T15:05:48Z,7.211997,RDO Concentration,mg/L,672340,NA
2020-01-24T15:05:50Z,7.216652,RDO Concentration,mg/L,672340,NA
2020-01-24T15:05:52Z,7.221852,RDO Concentration,mg/L,672340,NA
2020-01-24T15:05:54Z,7.222772,RDO Concentration,mg/L,672340,NA
2020-01-24T15:05:56Z,7.219388,RDO Concentration,mg/L,672340,NA
2020-01-24T15:05:58Z,7.218217,RDO Concentration,mg/L,672340,NA
2020-01-24T15:06:00Z,7.220278,RDO Concentration,mg/L,672340,NA
2020-01-24T15:06:02Z,7.222057,RDO Concentration,mg/L,672340,NA
2020-01-24T15:06:04Z,7.222396,RDO Concentration,mg/L,672340,NA
2020-01-24T15:05:14Z,23.43133,Salinity,PSU,673392,NA
2020-01-24T15:05:16Z,30.72727,Salinity,PSU,673392,NA
2020-01-24T15:05:18Z,31.14313,Salinity,PSU,673392,NA
2020-01-24T15:05:20Z,31.32284,Salinity,PSU,673392,NA
2020-01-24T15:05:22Z,31.30703,Salinity,PSU,673392,NA
2020-01-24T15:05:24Z,31.23996,Salinity,PSU,673392,NA
2020-01-24T15:05:26Z,33.48661,Salinity,PSU,673392,NA
2020-01-24T15:05:28Z,35.44225,Salinity,PSU,673392,NA
2020-01-24T15:05:30Z,35.77555,Salinity,PSU,673392,NA
2020-01-24T15:05:32Z,35.93972,Salinity,PSU,673392,NA
2020-01-24T15:05:34Z,35.93221,Salinity,PSU,673392,NA
2020-01-24T15:05:36Z,35.93706,Salinity,PSU,673392,NA
2020-01-24T15:05:38Z,35.93994,Salinity,PSU,673392,NA
2020-01-24T15:05:40Z,35.95938,Salinity,PSU,673392,NA
2020-01-24T15:05:42Z,35.96213,Salinity,PSU,673392,NA
2020-01-24T15:05:44Z,35.95311,Salinity,PSU,673392,NA
2020-01-24T15:05:46Z,35.95578,Salinity,PSU,673392,NA
2020-01-24T15:05:48Z,35.96164,Salinity,PSU,673392,NA
2020-01-24T15:05:50Z,35.96421,Salinity,PSU,673392,NA
2020-01-24T15:05:52Z,35.9638,Salinity,PSU,673392,NA
2020-01-24T15:05:54Z,35.96378,Salinity,PSU,673392,NA
2020-01-24T15:05:56Z,35.9655,Salinity,PSU,673392,NA
2020-01-24T15:05:58Z,35.96771,Salinity,PSU,673392,NA
2020-01-24T15:06:00Z,35.972410000000004,Salinity,PSU,673392,NA
2020-01-24T15:06:02Z,35.98688,Salinity,PSU,673392,NA
2020-01-24T15:06:04Z,35.98903,Salinity,PSU,673392,NA
2020-01-24T15:05:14Z,20.85243,Temperature,°C,676038,Aqua TROLL 600 Vented
2020-01-24T15:05:16Z,20.70127,Temperature,°C,676038,Aqua TROLL 600 Vented
2020-01-24T15:05:18Z,20.63885,Temperature,°C,676038,Aqua TROLL 600 Vented
2020-01-24T15:05:20Z,20.61586,Temperature,°C,676038,Aqua TROLL 600 Vented
2020-01-24T15:05:22Z,20.61117,Temperature,°C,676038,Aqua TROLL 600 Vented
2020-01-24T15:05:24Z,20.60935,Temperature,°C,676038,Aqua TROLL 600 Vented
2020-01-24T15:05:26Z,20.58584,Temperature,°C,676038,Aqua TROLL 600 Vented
2020-01-24T15:05:28Z,20.51138,Temperature,°C,676038,Aqua TROLL 600 Vented
2020-01-24T15:05:30Z,20.50053,Temperature,°C,676038,Aqua TROLL 600 Vented
2020-01-24T15:05:32Z,20.48443,Temperature,°C,676038,Aqua TROLL 600 Vented
2020-01-24T15:05:34Z,20.46135,Temperature,°C,676038,Aqua TROLL 600 Vented
2020-01-24T15:05:36Z,20.42032,Temperature,°C,676038,Aqua TROLL 600 Vented
2020-01-24T15:05:38Z,20.38686,Temperature,°C,676038,Aqua TROLL 600 Vented
2020-01-24T15:05:40Z,20.34393,Temperature,°C,676038,Aqua TROLL 600 Vented
2020-01-24T15:05:42Z,20.33685,Temperature,°C,676038,Aqua TROLL 600 Vented
2020-01-24T15:05:44Z,20.30567,Temperature,°C,676038,Aqua TROLL 600 Vented
2020-01-24T15:05:46Z,20.28279,Temperature,°C,676038,Aqua TROLL 600 Vented
2020-01-24T15:05:48Z,20.25175,Temperature,°C,676038,Aqua TROLL 600 Vented
2020-01-24T15:05:50Z,20.22817,Temperature,°C,676038,Aqua TROLL 600 Vented
2020-01-24T15:05:52Z,20.21484,Temperature,°C,676038,Aqua TROLL 600 Vented
2020-01-24T15:05:54Z,20.21237,Temperature,°C,676038,Aqua TROLL 600 Vented
2020-01-24T15:05:56Z,20.20608,Temperature,°C,676038,Aqua TROLL 600 Vented
2020-01-24T15:05:58Z,20.19696,Temperature,°C,676038,Aqua TROLL 600 Vented
2020-01-24T15:06:00Z,20.1987,Temperature,°C,676038,Aqua TROLL 600 Vented
2020-01-24T15:06:02Z,20.18661,Temperature,°C,676038,Aqua TROLL 600 Vented
2020-01-24T15:06:04Z,20.18513,Temperature,°C,676038,Aqua TROLL 600 Vented
