Date Time,Actual Conductivity (µS/cm),Specific Conductivity (µS/cm),Salinity (ppt),Total Dissolved Solids (ppt),Resistivity (Ω⋅cm),Density (g/cm³),Chlorophyll-a Fluorescence (RFU),Chlorophyll-a Concentration (µg/L),RDO Concentration (mg/L),RDO Saturation (%Sat),Oxygen Partial Pressure (Torr),Temperature (°C),Barometric Pressure (mm Hg),Pressure (psi),Depth (ft),External Voltage (V),Battery Capacity (%),Barometric Pressure (mbar),Temperature (°C),Latitude (°),Longitude (°),Marked
2020-02-04T16:23:05Z,47001.49,52575.46,34.96676,34.17405,21.27592,1.024882,0.0236434,0.236434,7.492503,99.521,156.0599,19.4493,765.5131,7.011552,16.75694,16.498,72,1020.23,22.28,NA,NA,NA
2020-02-04T16:23:07Z,47001.49,52575.46,34.96676,34.17405,21.27592,1.024882,0.0236434,0.236434,7.492503,99.521,156.0599,19.4493,765.5131,7.011552,16.75694,16.498,72,1020.23,22.28,NA,NA,NA
2020-02-04T16:23:09Z,47099.01,52708.42,35.06482,34.26047,21.23187,1.024962,0.02081441,0.208144,7.517336,99.88085,156.6119,19.42809,765.3359,6.798897,16.27292,16.50686,72,1020.171,22.28,NA,NA,NA
2020-02-04T16:23:11Z,47030.59,52638.53,35.01232,34.21504,21.26276,1.024921,0.02181076,0.2181077,7.547434,100.2694,157.1697,19.42216,765.2444,6.905259,16.53058,16.50678,72,1020.207,22.28885,NA,NA,NA
2020-02-04T16:23:13Z,47022.07,52584.13,34.96973,34.17968,21.30133,1.024901,0.02138318,0.2410792,7.566833,100.4591,157.4396,19.42081,765.0953,6.930267,16.58068,16.507,72,1020.2,22.31557,NA,NA,NA
2020-02-04T16:23:15Z,47273.02,52970.04,35.25634,34.43053,21.15841,1.025127,0.02416138,0.2452158,7.555397,100.4314,157.3983,19.38616,765.0066,6.713937,16.09916,16.53751,72,1020.2,22.31885,NA,NA,NA
2020-02-04T16:23:17Z,47308.9,53023.19,35.29573,34.46507,21.13946,1.025158,0.02453326,0.2467123,7.554288,100.4316,157.3981,19.38124,764.9887,6.683469,16.03093,16.54186,72,1020.2,22.32036,NA,NA,NA
2020-02-04T16:23:19Z,47304.18,53035.45,35.30423,34.47305,21.1396,1.025168,0.02245574,0.2244158,7.558658,100.484,157.4669,19.3442,765.0647,8.029406,19.12503,16.52633,72,1020.218,22.32935,NA,NA,NA
2020-02-04T16:23:21Z,47364.55,53121.2,35.36739,34.52878,21.11284,1.02522,0.02701578,0.2701578,7.567951,100.6056,157.676,19.3265,765.1662,8.913539,23.33927,16.50863,72,1020.201,22.34827,NA,NA,NA
2020-02-04T16:23:23Z,47405.41,53181.36,35.41163,34.56789,21.09464,1.025257,0.05444325,0.5444325,7.561826,100.7052,157.8625,19.31368,765.1805,10.98556,26.12943,16.50729,72,1020.236,22.35864,NA,NA,NA
