csv,dtime,chl_mgL,depth_ft,lat_dd,lon_dd,o2_mgL,salinity_psu,temp_c,bdepth_ft
VuSitu_2019-10-12_15-16-08_Device Location_LiveReadings.csv,2019-10-12T15:16:22Z,0.01497756,5.0223,26.55023225988701,-82.697661779661,6.296279,35.65345,28.54877,84.87216
VuSitu_2019-10-12_15-16-08_Device Location_LiveReadings.csv,2019-10-12T15:16:24Z,0.007849341,4.357861,26.55023225988701,-82.697661779661,6.283818,35.68291,28.55341,84.87216
VuSitu_2019-10-12_15-16-08_Device Location_LiveReadings.csv,2019-10-12T15:16:26Z,0.02775487,7.554298,26.55023225988701,-82.697661779661,6.288695,35.69306,28.55054,84.87216
VuSitu_2019-10-12_15-16-08_Device Location_LiveReadings.csv,2019-10-12T15:16:28Z,0.01514481,9.912531,26.55023225988701,-82.697661779661,6.282496,35.68129,28.5521,84.87216
VuSitu_2019-10-12_15-16-08_Device Location_LiveReadings.csv,2019-10-12T15:16:30Z,0.0143407,10.38163,26.55023225988701,-82.697661779661,6.281964,35.67986,28.55215,84.87216
VuSitu_2019-10-12_15-16-08_Device Location_LiveReadings.csv,2019-10-12T15:16:32Z,0.01818349,13.25579,26.55023225988701,-82.697661779661,6.274085,35.66637,28.54681,84.87216
VuSitu_2019-10-12_15-16-08_Device Location_LiveReadings.csv,2019-10-12T15:16:34Z,0.01228852,17.00233,26.55023225988701,-82.697661779661,6.269205,35.68345,28.53473,84.87216
VuSitu_2019-10-12_15-16-08_Device Location_LiveReadings.csv,2019-10-12T15:16:36Z,0.01383814,16.68167,26.55023225988701,-82.697661779661,6.261199,35.66408,28.53083,84.87216
VuSitu_2019-10-12_15-16-08_Device Location_LiveReadings.csv,2019-10-12T15:16:38Z,0.007514148,18.43512,26.55023225988701,-82.697661779661,6.264947,35.67314,28.52717,84.87216
VuSitu_2019-10-12_15-16-08_Device Location_LiveReadings.csv,2019-10-12T15:16:40Z,0.01737443,19.90633,26.55023225988701,-82.697661779661,6.263574,35.65095,28.5269,84.87216
VuSitu_2019-10-12_15-16-08_Device Location_LiveReadings.csv,2019-10-12T15:16:42Z,0.01842884,20.1883,26.55023225988701,-82.697661779661,6.263616,35.64846,28.52672,84.87216
VuSitu_2019-10-12_15-16-08_Device Location_LiveReadings.csv,2019-10-12T15:16:44Z,0.03011429,20.27014,26.55023225988701,-82.697661779661,6.250006,35.66943,28.51577,84.87216
VuSitu_2019-10-12_15-16-08_Device Location_LiveReadings.csv,2019-10-12T15:16:46Z,0.02909187,23.49564,26.55023225988701,-82.697661779661,6.262393,35.6618,28.51034,84.87216
VuSitu_2019-10-12_15-16-08_Device Location_LiveReadings.csv,2019-10-12T15:16:48Z,0.02701822,24.47952,26.55023225988701,-82.697661779661,6.259985,35.66374,28.50518,84.87216
VuSitu_2019-10-12_15-16-08_Device Location_LiveReadings.csv,2019-10-12T15:16:50Z,0.04976713,27.14754,26.55023225988701,-82.697661779661,6.252011,35.66009,28.50214,84.87216
VuSitu_2019-10-12_15-16-08_Device Location_LiveReadings.csv,2019-10-12T15:16:52Z,0.05276503,27.52073,26.55023225988701,-82.697661779661,6.250753,35.65973,28.50157,84.87216
VuSitu_2019-10-12_15-16-08_Device Location_LiveReadings.csv,2019-10-12T15:16:54Z,0.03149013,29.78099,26.55023225988701,-82.697661779661,6.245732,35.67766,28.49916,84.87216
VuSitu_2019-10-12_15-16-08_Device Location_LiveReadings.csv,2019-10-12T15:16:56Z,0.01733256,30.83672,26.55023225988701,-82.697661779661,6.250315,35.68505,28.49934,84.87216
VuSitu_2019-10-12_15-16-08_Device Location_LiveReadings.csv,2019-10-12T15:16:58Z,0.01427177,32.87741,26.55023225988701,-82.697661779661,6.243238,35.66455,28.49448,84.87216
VuSitu_2019-10-12_15-16-08_Device Location_LiveReadings.csv,2019-10-12T15:17:00Z,0.02776683,35.49035,26.55023225988701,-82.697661779661,6.251071,35.67099,28.48804,84.87216
VuSitu_2019-10-12_15-16-08_Device Location_LiveReadings.csv,2019-10-12T15:17:02Z,0.02546171,36.47178,26.55023225988701,-82.697661779661,6.245939,35.67281,28.47855,84.87216
VuSitu_2019-10-12_15-16-08_Device Location_LiveReadings.csv,2019-10-12T15:17:04Z,0.02287612,37.34738,26.55023225988701,-82.697661779661,6.240929,35.69046,28.47213,84.87216
VuSitu_2019-10-12_15-16-08_Device Location_LiveReadings.csv,2019-10-12T15:17:06Z,0.02227627,37.48933,26.55023225988701,-82.697661779661,6.239918,35.69304,28.47087,84.87216
VuSitu_2019-10-12_15-16-08_Device Location_LiveReadings.csv,2019-10-12T15:17:08Z,0.02332244,40.61649,26.55023225988701,-82.697661779661,6.241651,35.69697,28.46579,84.87216
VuSitu_2019-10-12_15-16-08_Device Location_LiveReadings.csv,2019-10-12T15:17:10Z,0.0335434,41.25895,26.55023225988701,-82.697661779661,6.240863,35.69624,28.4646,84.87216
