"Location Properties"
"Location Name = Device Location"
""
"Report Properties"
"Start Time = 2020-01-24 15:40:52"
"Time Offset = -05:00:00"
"Duration = 00:02:32"
"Readings = 77"
""
"Instrument Properties"
"Device Model = Aqua TROLL 600 Vented"
"Device SN = 676038"
""
"Instrument Properties"
"Device Model = In-Situ Bluetooth Device"
"Device SN = 674484"
""
""
"Date Time","Actual Conductivity (µS/cm) (673392)","Specific Conductivity (µS/cm) (673392)","Salinity (PSU) (673392)","Total Dissolved Solids (ppt) (673392)","Resistivity (Ω⋅cm) (673392)","Density (g/cm³) (673392)","Chlorophyll-a Fluorescence (RFU) (671693)","Chlorophyll-a Concentration (µg/L) (671693)","RDO Concentration (mg/L) (672340)","RDO Saturation (%Sat) (672340)","Oxygen Partial Pressure (Torr) (672340)","Temperature (°C) (676038)","Barometric Pressure (mm Hg) (676038)","Pressure (psi) (671053)","Depth (ft) (671053)","External Voltage (V) (676038)","Battery Capacity (%) (676038)","Barometric Pressure (mbar) (674484)","Temperature (°C) (674484)","Latitude (°)","Longitude (°)","Marked"
"2020-01-24 15:40:52","216.5534","237.8056","0.1154234","29.57685","305495","1.021062","3.262609","1.770957","7.411443","97.4271","152.038","20.33131","762.9591","-0.01562546","0.5445174","0.009","71","1019.294","23.42891","26.6309966666667","-82.5568333333333",""
"2020-01-24 15:40:54","39557.45","43570.93","28.99147","32.63537","66.14672","1.023503","0.5124276","0.5999087","7.285207","97.47408","152.1472","20.20179","763.0286","-0.01932143","0.5440927","0.009","71","1019.324","23.42128","26.6310066666667","-82.5568266666667",""
"2020-01-24 15:40:56","44341.93","48841.04","32.5086","34.1663","18.04739","1.024703","0.2506644","0","7.212185","97.46308","152.1349","20.18717","763.0396","-0.01992727","0.5426422","0.009","71","1019.327","23.42072","26.63102","-82.5568216666667",""
"2020-01-24 15:40:58","47394.42","52205.12","34.76931","34.25676","20.89974","1.024793","0.03660218","0.02684051","7.217835","97.57105","152.3205","20.17681","763.0014","-0.02032749","0.5727203","0.009","71","1019.31","23.4201","26.6310416666667","-82.556815",""
"2020-01-24 15:41:00","48057.53","52913.81","35.25924","34.39397","20.80842","1.02491","0.006037587","0.06037588","7.214748","97.65792","152.4443","20.19491","763.0627","0.5411894","1.860958","0.009","71","1019.319","23.42","26.631055","-82.55681",""
"2020-01-24 15:41:02","48083.92","52994.05","35.3169","34.44613","20.79698","1.024973","0.004375056","0.04375056","7.234888","97.82418","152.7632","20.14899","763.2286","0.9519399","2.807735","0.009","71","1019.338","23.42","26.631055","-82.55681",""
"2020-01-24 15:41:04","48075.11","53007.21","35.33444","34.4646","20.81714","1.024999","0.004047975","0.04047975","7.245059","97.86235","152.8473","20.12849","763.3428","1.389005","3.8221","0.009","71","1019.33","23.42","26.631055","-82.55681",""
"2020-01-24 15:41:06","47931.05","52978.81","35.29934","34.43737","20.86522","1.024991","0.003609161","0.03609161","7.255696","97.85027","152.8581","20.0757","763.4412","2.216406","5.713994","0.009","71","1019.33","23.42","26.631055","-82.55681",""
"2020-01-24 15:41:08","47910.38","52974.85","35.2948","34.43401","20.8729","1.02499","0.003545202","0.03545202","7.257486","97.84909","152.8611","20.06776","763.4588","2.348173","6.015897","0.009","71","1019.329","23.42","26.631055","-82.55681",""
"2020-01-24 15:41:10","47844.33","53025.61","35.32647","34.4665","20.90088","1.025043","0.004346422","0.04346422","7.262677","97.7313","152.7201","19.88892","763.5082","3.310076","8.245529","0.009","71","1019.358","23.42948","26.631055","-82.55681",""
"2020-01-24 15:41:12","47770.89","53018.07","35.31743","34.46174","20.93326","1.025054","0.006334741","0.06334741","7.259017","97.55063","152.4632","19.81854","763.5376","4.013246","9.872226","0.009","71","1019.332","23.42997","26.631055","-82.55681",""
"2020-01-24 15:41:14","47737.77","53024.16","35.31993","34.4657","20.94777","1.025074","0.005844156","0.05844156","7.26645","97.545","152.4798","19.78023","763.5727","4.465065","10.91882","0.009","71","1019.321","23.43","26.6311466666667","-82.55677",""
"2020-01-24 15:41:16","47722.52","53032.2","35.32523","34.47218","20.96152","1.025081","0.006170603","0.05439333","7.269531","97.55339","152.4858","19.75803","763.4645","4.790362","11.6584","0.009","71","1019.346","23.43","26.6311566666667","-82.55677",""
"2020-01-24 15:41:18","47711.34","53053.04","35.33879","34.48463","20.96025","1.025094","0.004583815","0.04493454","7.277263","97.64808","152.6264","19.73785","763.4668","5.491795","13.28818","0.009","71","1019.34","23.43","26.6311566666667","-82.55677",""
"2020-01-24 15:41:20","47709.43","53056.21","35.34087","34.48659","20.96054","1.025096","0.004382388","0.04349582","7.2784","97.66157","152.646","19.73445","763.4623","5.598637","13.53577","0.009","71","1019.34","23.43","26.6311566666667","-82.55677",""
"2020-01-24 15:41:22","47707.98","53076.19","35.35474","34.49951","20.96079","1.025112","0.005075214","0.05082127","7.278239","97.63259","152.6075","19.70528","763.5217","6.085632","14.65678","0.009","71","1019.349","23.43","26.6311566666667","-82.55677",""
"2020-01-24 15:41:24","47706.37","53098.19","35.37005","34.51382","20.96156","1.025129","0.005590237","0.05590236","7.274765","97.54934","152.4938","19.68356","763.4964","6.39302","15.36298","0.009","71","1019.293","23.43","26.6311566666667","-82.55677",""
"2020-01-24 15:41:26","47709.53","53116.13","35.38277","34.52549","20.96017","1.025142","0.006092933","0.06092932","7.28114","97.62244","152.4726","19.67077","763.5087","7.693192","18.35622","0.009","71","1019.299","23.43","26.6311566666667","-82.55677",""
"2020-01-24 15:41:28","47713.65","53131.88","35.39401","34.53572","20.97549","1.025152","0.004468822","0.04468821","7.284406","97.59792","152.5675","19.66089","763.5163","8.344044","19.86324","0.009","71","1019.318","23.43906","26.6311566666667","-82.55677",""
"2020-01-24 15:41:30","47676.49","53126.22","35.3866","34.53204","20.98837","1.025163","0.00434426","0.0434426","7.283143","97.51517","152.4638","19.63428","763.602","9.018827","21.42508","0.01685023","71","1019.311","23.43106","26.6311566666667","-82.55677",""
"2020-01-24 15:41:32","47671.71","53126.12","35.38609","34.53198","20.99082","1.025164","0.004248118","0.04248118","7.283097","97.50259","152.4545","19.63033","763.6138","9.133146","21.68978","0.01789773","71","1019.31","23.43042","26.6312466666667","-82.5567083333333",""
"2020-01-24 15:41:34","47640.17","53140","35.39559","34.541","20.99142","1.025176","0.00403951","0.04039511","7.287503","97.53627","152.5146","19.5817","763.6086","9.820076","24.20802","0.01808846","71","1019.3","23.43931","26.63126","-82.5567",""
"2020-01-24 15:41:36","47622.87","53127.3","35.38586","34.53275","20.99855","1.025173","0.004083186","0.04083186","7.286031","97.48939","152.4431","19.57558","763.6073","10.80521","25.66177","0.018","71","1019.282","23.43982","26.63126","-82.5567",""
"2020-01-24 15:41:38","47614.37","53128.58","35.39692","34.54308","20.99892","1.025182","0.006834003","0.06092802","7.28977","97.52555","152.5106","19.56598","763.6532","11.57459","27.35495","0.0101044","71","1019.333","23.44877","26.63126","-82.5567",""
"2020-01-24 15:41:40","47614.56","53147.82","35.40105","34.54723","21.0016","1.025188","0.005915101","0.05826141","7.28047","97.38293","152.2909","19.55916","763.6773","12.14667","28.64358","0.009294604","71","1019.295","23.44967","26.63126","-82.5567",""
"2020-01-24 15:41:42","47614.43","53150.66","35.40218","34.54832","21.00191","1.025189","0.005903888","0.05873723","7.279358","97.36524","152.2642","19.5579","763.6826","12.24757","28.87679","0.008849769","71","1019.292","23.45017","26.63126","-82.5567",""
